condition medium, random seed 649601
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
19.6, 0, 0, 0, 0, 0, 0, 1, 0.05060182, 0.6898087, 0.4539678, -0.1013404, 0.5981638, 0.1393182, -0.782637, 0.001594329, 1.169531, 0.1386646, -0.08715568, 0, 0, -0.9961947, -0.02694777, 0.6886373, 0.4854446, -0.2109229, -0.04789969, -0.3930724, -0.8937066
19.65, 0, 0, 0, 0, 0, 0, 1, 0.06409122, 0.5729772, 0.3494102, -0.2871587, 0.5665498, 0.3613978, -0.6826075, 0.00159433, 1.169468, 0.1387402, -0.08715568, 0, 0, -0.9961947, -0.01619084, 0.567228, 0.3723849, -0.4509978, 0.1193315, -0.3309817, -0.8202513
19.7, 0, 0, 0, 0, 0, 0, 1, 0.08767334, 0.4943368, 0.2658452, -0.3843296, 0.4638312, 0.4473358, -0.6610916, 0.001594329, 1.169372, 0.1388582, -0.08715568, 0, 0, -0.9961947, 0.01020831, 0.477671, 0.2928178, -0.592459, 0.1229514, -0.3009208, -0.7371038
19.75, 0, 0, 0, 0, 0, 0, 1, 0.08681513, 0.504535, 0.2749345, -0.3691757, 0.476123, 0.4296943, -0.6725913, 0.001594328, 1.169352, 0.1388843, -0.08715568, 0, 0, -0.9961947, 0.009362757, 0.4886171, 0.3023908, -0.571269, 0.1135039, -0.3096343, -0.7515951
19.8, 0, 0, 0, 0, 0, 0, 1, 0.08930806, 0.5540842, 0.3378631, -0.3156311, 0.5133373, 0.3826615, -0.7003085, 0.001594328, 1.169387, 0.1388408, -0.08715568, 0, 0, -0.9961947, 0.01162593, 0.5422773, 0.3667106, -0.5041686, 0.08907752, -0.3248962, -0.7951866
19.85, 0, 0, 0, 0, 0, 0, 1, 0.0929757, 0.6429284, 0.4200346, -0.2428475, 0.5593631, 0.3036532, -0.7320743, 0.001594329, 1.169433, 0.1387843, -0.08715568, 0, 0, -0.9961947, 0.01483419, 0.6356297, 0.4491332, -0.4028727, 0.05219087, -0.3520905, -0.8432094
19.9, 0, 0, 0, 0, 0, 0, 1, 0.09480753, 0.7601834, 0.4892541, -0.1690336, 0.5996736, 0.1808391, -0.7609971, 0.001594329, 1.169494, 0.1387096, -0.08715568, 0, 0, -0.9961947, 0.0161448, 0.7535076, 0.5170698, -0.2736875, -9.706616E-05, -0.4039589, -0.872876
19.95, 0, 0, 0, 0, 0, 0, 1, 0.08262759, 0.8990436, 0.5302284, -0.06764814, 0.630472, 0.002407106, -0.7732548, 0.001594329, 1.16958, 0.1386041, -0.08715568, 0, 0, -0.9961947, 0.003484532, 0.891331, 0.5563625, -0.08907625, -0.07291299, -0.465697, -0.8774255
20, 0, 0, 0, 0, 0, 0, 1, 0.0500416, 1.057967, 0.5219446, 0.09434233, 0.626408, -0.2402224, -0.7355309, 0.00159433, 1.169612, 0.1385639, -0.08715568, 0, 0, -0.9961947, -0.02968649, 1.050588, 0.5463387, 0.1799788, -0.1735964, -0.5038775, -0.8267886
20.05, 0, 0, 0, 0, 0, 0, 1, 0.009992252, 1.191256, 0.4456662, 0.2899872, 0.5465575, -0.4664525, -0.6321428, 0.00159433, 1.169606, 0.1385714, -0.08715568, 0, 0, -0.9961947, -0.07067421, 1.189006, 0.4678915, 0.457041, -0.2856427, -0.4672898, -0.7008296
20.1, 0, 0, 0, 0, 0, 0, 1, -0.01723095, 1.258839, 0.351219, -0.456111, -0.4307188, 0.5901007, 0.5081587, 0.001594329, 1.169603, 0.1385758, -0.08715568, 0, 0, -0.9961947, -0.09934262, 1.264797, 0.3663277, -0.6449044, 0.367453, 0.3671423, 0.5606099
20.15, 0, 0, 0, 0, 0, 0, 1, -0.02175379, 1.282033, 0.3141571, -0.5552952, -0.3410147, 0.6169282, 0.4413114, 0.001594329, 1.169614, 0.1385625, -0.08715568, 0, 0, -0.9961947, -0.1039051, 1.296353, 0.3213809, -0.7185694, 0.4197567, 0.2733309, 0.4824445
20.2, 0, 0, 0, 0, 0, 0, 1, 0.001745283, 1.281888, 0.3640093, -0.5748571, -0.2927843, 0.5936038, 0.4810939, 0.001594329, 1.169636, 0.1385351, -0.08715568, 0, 0, -0.9961947, -0.07752524, 1.30739, 0.3724908, -0.689505, 0.4748356, 0.2432865, 0.4898224
20.25, 0, 0, 0, 0, 0, 0, 1, 0.06612534, 1.222853, 0.4757834, 0.4897974, 0.2850888, -0.5451993, -0.6177222, 0.001594329, 1.169636, 0.1385351, -0.08715568, 0, 0, -0.9961947, -0.005748235, 1.25665, 0.5022039, 0.5605363, -0.5270814, -0.3057915, -0.5607817
20.3, 0, 0, 0, 0, 0, 0, 1, 0.1586361, 1.070524, 0.5682548, 0.2982849, 0.3203065, -0.4466275, -0.7803549, 0.001594329, 1.169628, 0.1385445, -0.08715568, 0, 0, -0.9961947, 0.09806579, 1.094946, 0.6206086, 0.3365856, -0.5213965, -0.4254178, -0.6586924
